,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
475,121,Rocky Mountain Institute,-1,-1,51 to 200,$25M to $100M (USD),Nonprofit & NGO
476,122,Grand Teton Lodge Company,Rob Katz,1962,"more than 10,000",$1B to $5B (USD),Hotels & Travel Accommodation
477,123,City of Ann Arbor,-1,-1,-1,-1,Government & Public Administration
478,124,Oregon Health & Science University,-1,1887,"more than 10,000",$1B to $5B (USD),Education
479,125,HealthPartners,Andrea Walsh,1984,"more than 10,000",$1B to $5B (USD),Healthcare
480,126,Bill & Melinda Gates Foundation,-1,1997,"1001 to 5,000",less than $1M (USD),Healthcare
481,127,ESC Polytech Consultants,-1,-1,-1,-1,-1
482,128,Oneida ESC Group,-1,-1,-1,-1,-1
483,129,World Resources Institute,-1,1982,51 to 200,$25M to $100M (USD),Nonprofit & NGO
484,130,WSP USA,Alexandre L’Heureux,1959,"5,001 to 10,000",$1B to $5B (USD),Architectural & Engineering Services
485,131,Government of the District of Columbia,-1,-1,"5,001 to 10,000",$100M to $500M (USD),Government & Public Administration
486,132,Advocate Aurora Health,Nick Turkal | Jim Skogsbergh,2018,"more than 10,000",more than $10B (USD),Healthcare
487,133,ICF,John Wasson,1969,"5,001 to 10,000",$1B to $5B (USD),Management & Consulting
488,134,The Coffee Bean & Tea Leaf,-1,1963,"1001 to 5,000",$100M to $500M (USD),Restaurants & Food Service
489,135,Columbia University,-1,1938,"more than 10,000",$1B to $5B (USD),Education
490,136,Golden State Foods,-1,1947,"1001 to 5,000",$100M to $500M (USD),Manufacturing
491,137,Public Health Advocates,-1,-1,-1,-1,-1
492,138,H&M,Helena Helmersson,1947,"more than 10,000",more than $10B (USD),Retail & Wholesale
